,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
0,1,12,10,39.5194,19.4589,False
1,1,12,1,39.9367,19.3511,False
2,1,12,0.1,39.9898,19.3309,False
3,1,11,10,39.1909,18.6735,False
4,1,11,1,39.7527,18.3593,False
5,1,11,0.1,39.9139,18.2906,False
6,1,10,10,38.6449,17.7661,False
7,1,10,1,39.6734,17.2561,False
8,1,10,0.1,39.9015,17.1846,False
9,2,12,10,37.3538,16.9135,False
10,2,12,1,38.0624,16.6476,False
11,2,12,0.1,38.1774,16.6079,False
12,1,9,10,38.4039,16.5815,False
13,1,9,1,39.7498,16.1387,False
14,1,9,0.1,40.0581,16.1258,False
15,2,11,10,36.2778,15.8487,False
16,2,11,1,37.3029,15.5641,False
17,2,11,0.1,37.4679,15.5419,False
18,1,8,0.1,40.5355,15.3317,False
19,1,8,10,38.3124,15.308,False
20,1,8,1,40.123,15.1935,False
21,1,7,0.1,41.5808,15.1042,True
22,1,7,1,40.986,14.6862,True
23,2,10,10,35.3099,14.6466,False
24,3,12,10,34.7864,14.6152,False
25,2,10,0.1,36.6953,14.5301,False
26,2,10,1,36.4826,14.5027,False
27,3,12,1,35.6212,14.4517,False
28,3,12,0.1,35.7433,14.4479,False
29,1,7,10,38.5255,13.9794,True
30,2,9,0.1,35.9288,13.6697,True
31,2,9,1,35.6491,13.5445,True
32,3,11,0.1,34.4606,13.526,False
33,3,11,10,33.2556,13.5044,False
34,3,11,1,34.3071,13.4953,False
35,2,9,10,34.2408,13.3381,False
36,2,8,0.1,35.2661,13.055,True
37,2,8,1,34.8701,12.8016,True
38,2,7,0.1,34.8586,12.7435,True
39,3,10,0.1,33.0521,12.6788,False
40,3,10,1,32.8517,12.5895,False
41,3,10,10,31.4539,12.3397,False
42,2,7,1,34.3102,12.3384,True
43,2,8,10,33.0739,12.0326,True
44,3,9,0.1,31.5941,11.9485,False
45,3,9,1,31.3128,11.7823,False
46,3,8,0.1,30.1647,11.3558,False
47,3,9,10,29.7121,11.1544,False
48,3,8,1,29.789,11.1055,False
49,2,7,10,31.7691,10.9448,True
50,3,7,0.1,28.8847,10.9265,True
51,3,7,1,28.2871,10.5803,True
52,6,12,0.1,26.5317,10.4639,False
53,6,12,1,26.4052,10.4,False
54,6,12,10,25.2146,10.0925,False
55,3,8,10,27.8409,10.0846,True
56,6,11,0.1,24.5038,9.82443,True
57,6,11,1,24.3375,9.73408,True
58,3,7,10,23.8502,9.23714,True
59,6,11,10,23.0582,9.23668,True
60,6,10,0.1,22.3916,9.19241,True
61,6,10,1,22.1824,9.07347,True
62,6,9,0.1,20.2352,8.58017,False
63,6,9,1,19.8996,8.42708,False
64,6,10,10,20.5204,8.4224,True
65,6,8,0.1,18.1741,8.02214,True
66,6,8,1,17.639,7.82015,True
67,10,12,0.1,16.8492,7.71243,False
68,6,9,10,17.2872,7.6505,True
69,10,12,1,16.7116,7.64338,True
70,6,7,0.1,16.5989,7.62075,True
71,6,7,1,16.0372,7.4107,True
72,10,11,0.1,14.8931,7.2014,False
73,10,12,10,15.0528,7.18443,True
74,10,11,1,14.6573,7.11712,False
75,6,8,10,14.6646,6.91835,True
76,10,10,0.1,12.9362,6.69702,True
77,10,10,1,12.6472,6.59272,False
78,10,11,10,12.7955,6.57863,True
79,6,7,10,12.3994,6.42317,True
80,10,9,0.1,11.1209,6.22181,True
81,10,9,1,10.7603,6.10057,True
82,10,10,10,10.6284,6.02346,True
83,10,8,0.1,9.74136,5.84432,True
84,10,8,1,9.38066,5.72174,True
85,10,7,0.1,9.10143,5.6499,True
86,10,7,1,8.77252,5.54424,True
87,10,9,10,8.46946,5.50954,True
88,18,12,0.1,6.87602,5.14471,False
89,10,8,10,6.93382,5.10168,False
90,18,12,1,6.69488,5.08669,False
91,10,7,10,7.01699,4.98345,True
92,18,11,0.1,5.56989,4.80629,True
93,18,11,1,5.36045,4.74134,True
94,18,12,10,5.29412,4.74087,True
95,18,10,0.1,4.48947,4.50382,True
96,18,10,1,4.2845,4.44025,True
97,18,11,10,3.82408,4.39439,False
98,18,9,0.1,3.78391,4.26509,False
99,18,9,1,3.57471,4.20733,False
100,18,8,0.1,3.59784,4.11944,False
101,18,10,10,2.76499,4.08861,False
102,18,7,0.1,4.01096,4.07313,True
103,18,8,1,3.41451,4.06975,False
104,18,7,1,3.91747,4.02712,True
105,18,9,10,2.19556,3.89439,False
106,18,8,10,2.77382,3.79443,False
107,18,7,10,3.21639,3.68965,True
108,32,12,0.1,0.954529,3.51337,False
109,32,12,1,0.84223,3.4816,False
110,32,11,0.1,0.521236,3.34111,False
111,32,11,1,0.402173,3.31192,False
112,32,12,10,-0.112772,3.29502,False
113,32,10,0.1,0.365781,3.20243,False
114,32,10,1,0.249548,3.17831,False
115,32,11,10,-0.430152,3.15031,False
116,32,9,0.1,0.518266,3.10145,False
117,32,9,1,0.461002,3.08098,False
118,32,10,10,-0.253085,3.04391,False
119,32,8,0.1,0.917751,3.03007,False
120,32,8,1,0.865285,3.00686,False
121,32,7,0.1,1.45572,2.96614,True
122,32,9,10,0.105136,2.93837,False
123,32,7,1,1.41311,2.93336,True
124,32,8,10,0.562939,2.83824,False
125,32,7,10,1.01612,2.70201,True
126,56,12,0.1,-1.29795,2.56151,False
127,56,12,1,-1.36005,2.55018,False
128,56,12,10,-1.67598,2.48568,False
129,56,11,0.1,-1.18062,2.47171,False
130,56,11,1,-1.19861,2.46015,False
131,56,11,10,-1.31908,2.39457,False
132,56,10,0.1,-0.932271,2.39287,False
133,56,10,1,-0.943728,2.38048,False
134,56,9,0.1,-0.60132,2.31863,False
135,56,9,1,-0.617117,2.30402,False
136,56,10,10,-1.02993,2.29608,False
137,56,8,0.1,-0.248531,2.23895,False
138,56,8,1,-0.266116,2.22161,False
139,56,9,10,-0.698016,2.19349,False
140,56,7,0.1,0.0781182,2.14586,True
141,56,7,1,0.0573248,2.1265,True
142,56,8,10,-0.431009,2.08184,False
143,56,7,10,-0.22746,1.96012,True
144,100,12,0.1,-1.7148,1.89904,False
145,100,12,1,-1.71858,1.89316,False
