,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
0,1,7,0.1,13.9517,19.8886,False
1,1,8,0.1,10.9942,19.399,False
2,1,7,1,14.8098,19.061,False
3,1,9,0.1,8.93938,18.7995,False
4,1,8,1,11.8133,18.6317,False
5,1,7,1000,23.8279,18.0551,True
6,1,7,100,23.8278,18.0551,True
7,1,7,10,22.462,17.9663,True
8,1,10,0.1,8.5712,17.949,False
9,1,9,1,10.5401,17.7689,False
10,1,8,1000,21.2431,17.4395,True
11,1,8,100,21.2431,17.4395,True
12,1,8,10,20.09,17.3398,True
13,1,9,100,19.0452,16.8024,False
14,1,9,1000,19.0452,16.8024,True
15,1,10,1,10.649,16.7435,False
16,1,9,10,18.1194,16.6872,True
17,1,11,0.1,9.42427,16.5254,False
18,1,10,1000,17.2948,16.1195,False
19,1,10,100,17.2949,16.1195,False
20,1,10,10,16.5637,16.0115,False
21,1,11,1,11.3268,15.8203,False
22,1,11,100,16.9181,15.7175,False
23,1,11,1000,16.9181,15.7175,False
24,1,11,10,16.3386,15.6311,False
25,1,12,100,17.0379,15.4291,False
26,1,12,1000,17.0379,15.4291,False
27,1,12,0.1,10.7336,15.3689,False
28,1,12,10,16.4916,15.3423,False
29,1,12,1,12.3329,15.0716,False
30,2,7,0.1,10.7617,14.0908,False
31,2,7,1,11.5718,13.0914,False
32,2,8,0.1,8.3813,12.9869,False
33,2,9,0.1,6.96641,12.1427,False
34,2,8,1,9.55218,11.9852,False
35,2,10,0.1,6.10606,11.6005,False
36,3,7,0.1,9.37573,11.2621,False
37,2,9,1,8.19245,11.2015,False
38,2,11,0.1,5.79754,11.1999,False
39,2,7,1000,17.5049,11.1168,True
40,2,7,100,17.5049,11.1168,True
41,2,7,10,16.4752,11.0159,True
42,2,12,0.1,6.00162,10.8608,False
43,2,10,1,7.37023,10.7192,False
44,3,7,1,9.97591,10.5486,False
45,2,8,1000,15.6559,10.4538,False
46,2,8,100,15.6559,10.4538,True
47,2,11,1,6.96841,10.4506,False
48,2,8,10,14.8834,10.3846,True
49,2,12,1,7.12186,10.2951,False
50,2,9,100,14.2533,10.1863,True
51,2,9,1000,14.2533,10.1863,True
52,3,8,0.1,7.78463,10.1668,False
53,2,9,10,13.5059,10.1111,False
54,2,10,1000,13.0351,10.0998,False
55,2,10,100,13.0351,10.0998,False
56,2,11,1000,12.0332,10.0853,False
57,2,11,100,12.0332,10.0853,False
58,2,12,1000,11.2183,10.0574,False
59,2,12,100,11.2183,10.0574,False
60,2,10,10,12.4466,10.0143,False
61,2,11,10,11.5074,10.0081,False
62,2,12,10,10.7527,9.97167,False
63,3,8,1,8.56448,9.44136,False
64,3,9,0.1,6.54513,9.33269,False
65,3,10,0.1,5.61796,8.80752,False
66,3,7,100,13.9973,8.7713,True
67,3,7,1000,13.9973,8.7713,True
68,3,7,10,13.3444,8.67562,True
69,3,9,1,7.40763,8.66057,False
70,3,11,0.1,5.02144,8.52507,False
71,3,12,0.1,4.75128,8.38787,False
72,3,10,1,6.47491,8.18523,False
73,3,8,1000,12.8239,8.05014,False
74,3,8,100,12.8239,8.05014,True
75,3,8,10,12.1585,7.94761,True
76,3,11,1,5.92647,7.93991,False
77,3,12,1,5.59012,7.87186,False
78,6,7,0.1,7.01751,7.64461,False
79,3,9,1000,11.655,7.58841,True
80,3,9,100,11.655,7.5884,True
81,3,12,1000,9.41127,7.55313,False
82,3,12,100,9.41127,7.55313,False
83,3,9,10,11.096,7.53008,True
84,3,12,10,9.00396,7.48644,False
85,3,11,1000,10.0247,7.44312,False
86,3,11,100,10.0247,7.44311,False
87,3,10,1000,10.8255,7.4348,True
88,3,10,100,10.8255,7.4348,True
89,3,11,10,9.58604,7.38774,False
90,3,10,10,10.3004,7.38061,True
91,6,7,1,7.31311,7.27691,False
92,6,8,0.1,6.06011,6.79473,False
93,6,8,1,6.38541,6.42446,False
94,6,9,0.1,5.30934,6.15707,False
95,6,7,10,8.5427,5.9392,False
96,6,7,1000,8.61864,5.825,False
97,6,7,100,8.61864,5.825,True
98,10,7,0.1,5.52078,5.80954,False
99,6,9,1,5.66184,5.79977,False
100,6,10,0.1,4.68982,5.68714,False
101,10,7,1,5.6597,5.5857,False
102,6,11,0.1,4.16423,5.37008,False
103,6,10,1,5.11486,5.35085,False
104,6,8,10,7.87289,5.30472,False
105,6,8,1000,8.05345,5.30042,True
106,6,8,100,8.05345,5.30042,True
107,6,12,0.1,3.74745,5.1993,False
108,10,8,0.1,4.7021,5.11826,False
109,6,11,1,4.59792,5.05524,False
110,6,9,1000,7.59192,4.90884,True
111,6,9,100,7.59192,4.90883,True
112,10,8,1,4.8803,4.90372,False
113,6,12,1,4.19313,4.90041,False
114,6,9,10,7.3812,4.86322,True
115,6,10,1000,7.21642,4.63747,True
116,6,10,100,7.21642,4.63747,True
117,10,9,0.1,4.11112,4.59151,False
118,6,10,10,6.98183,4.59057,True
119,10,7,10,6.31928,4.49433,False
120,6,11,1000,6.83797,4.48059,True
121,6,11,100,6.83796,4.48059,True
122,6,11,10,6.52661,4.43875,True
123,6,12,100,6.4605,4.43639,False
124,6,12,1000,6.4605,4.43639,True
125,6,12,10,6.22116,4.41914,True
126,10,9,1,4.30967,4.38084,False
127,10,7,1000,6.07903,4.23819,True
128,10,7,100,6.07901,4.23818,True
129,10,10,0.1,3.66742,4.1991,False
130,18,7,0.1,4.29011,4.18435,False
131,18,7,1,4.3617,4.0476,False
132,10,8,10,5.56542,4.01874,True
133,10,10,1,3.87191,3.9933,False
134,10,11,0.1,3.31542,3.9104,False
135,10,8,1000,5.5289,3.87117,True
136,10,8,100,5.52889,3.87117,True
137,18,8,0.1,3.54401,3.72038,False
138,10,12,0.1,3.02244,3.71192,False
139,10,11,1,3.54397,3.71007,False
140,10,9,10,5.14059,3.63629,False
141,18,8,1,3.61628,3.59202,False
142,10,9,1000,5.1891,3.58139,True
143,10,9,100,5.18909,3.58138,True
144,10,12,1,3.28129,3.52481,False
145,10,10,10,4.82972,3.36833,False
146,10,10,1000,4.90519,3.36239,False
147,10,10,100,4.90519,3.36238,True
148,18,9,0.1,2.99693,3.32733,False
149,18,9,1,3.07924,3.20728,False
150,10,11,100,4.6966,3.1932,False
151,10,11,1000,4.69661,3.1932,False
152,18,7,10,4.7423,3.18597,True
153,10,11,10,4.58271,3.16891,True
154,10,12,1000,4.52201,3.08793,True
155,10,12,100,4.52201,3.08793,True
156,10,12,10,4.42077,3.06811,True
157,18,10,0.1,2.60391,3.00853,False
158,18,7,1000,4.21527,2.92938,False
159,18,7,100,4.21527,2.92938,True
160,32,7,0.1,3.37257,2.90922,False
161,18,10,1,2.71162,2.89345,False
162,18,8,10,4.0367,2.87134,True
163,32,7,1,3.39848,2.82432,False
164,18,11,0.1,2.31847,2.76194,False
165,18,8,1000,3.69879,2.66327,True
166,18,8,100,3.69878,2.66327,True
167,18,11,1,2.42991,2.64861,False
168,32,8,0.1,2.77362,2.64069,False
169,18,9,10,3.48814,2.61574,False
170,18,12,0.1,2.10597,2.57925,False
171,32,8,1,2.80276,2.56151,False
172,18,12,1,2.22218,2.47045,False
173,18,9,1000,3.31079,2.46272,False
174,18,9,100,3.31079,2.46272,False
175,32,9,0.1,2.29104,2.40129,False
176,18,10,10,3.12803,2.40004,False
177,32,9,1,2.33801,2.32641,False
178,18,10,1000,3.06098,2.30607,False
179,18,10,100,3.06098,2.30607,False
180,32,7,10,3.51419,2.27017,True
181,18,11,10,2.92466,2.23339,False
