,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
0,0.1,5.5,100,40.749,35.7808,True
1,0.1,5.5,10,39.5901,35.6781,True
2,0.1,5.5,0.1,32.2501,35.4966,False
3,0.1,5.5,1,34.2223,35.3415,False
4,0.17782,5.5,100,38.625,34.0919,True
5,0.17782,5.5,0.1,29.213,33.8519,False
6,0.17782,5.5,10,37.2863,33.7798,False
7,0.17782,5.5,1,31.599,33.7788,False
8,0.1,6,100,38.5395,33.7073,True
9,0.1,6,10,37.4194,33.4232,True
10,0.17782,6,100,36.053,31.7178,True
11,0.1,6,1,31.7221,31.6533,False
12,0.1,6,0.1,29.1018,31.3115,False
13,0.17782,6,10,34.815,31.3114,False
14,0.1,6.5,100,35.8684,31.0901,True
15,0.1,6.5,10,34.9125,30.7177,True
16,0.31624,5.5,0.1,23.9226,30.6765,False
17,0.31624,5.5,1,26.1854,30.1267,False
18,0.17782,6,1,28.811,30.0913,False
19,0.17782,6,0.1,26.1018,29.8401,False
20,0.31624,5.5,100,33.8226,29.8085,False
21,0.31624,5.5,10,32.3435,29.5333,False
22,0.17782,6.5,100,33.8464,29.4627,True
23,0.17782,6.5,10,32.8248,29.0879,False
24,0.1,7,100,33.6458,28.7577,True
25,0.1,6.5,1,30.0576,28.5986,False
26,0.1,7,10,32.8214,28.3976,True
27,0.31624,6,100,32.001,28.2108,True
28,0.1,6.5,0.1,27.2794,27.8787,False
29,0.31624,6,10,30.6968,27.7818,False
30,0.17782,7,100,31.9713,27.4819,True
31,0.31624,6,1,24.0428,27.335,False
32,0.31624,6,0.1,21.8429,27.1928,False
33,0.17782,6.5,1,27.5318,27.1302,False
34,0.17782,7,10,31.1317,27.1132,False
35,0.1,7.5,100,31.7951,26.7407,True
36,0.17782,6.5,0.1,24.7611,26.7055,False
37,0.31624,6.5,100,30.4946,26.6292,False
38,0.1,7.5,10,31.1128,26.3793,True
39,0.1,7,1,29.1275,26.3347,False
40,0.31624,6.5,10,29.3456,26.2198,False
41,0.17782,7.5,100,30.4195,25.6828,True
42,0.1,7,0.1,26.9358,25.4904,False
43,0.17782,7.5,10,29.717,25.3406,False
44,0.562,5.5,0.1,16.2055,25.2675,False
45,0.31624,7,100,29.1881,25.1836,False
46,0.17782,7,1,26.9,25.0741,False
47,0.1,8,100,30.3138,24.9662,True
48,0.562,5.5,1,18.687,24.9313,False
49,0.31624,6.5,1,23.4512,24.806,False
50,0.31624,7,10,28.221,24.7844,False
51,0.31624,6.5,0.1,20.7181,24.7632,False
52,0.1,8,10,29.7679,24.645,True
53,0.1,7.5,1,28.3658,24.611,False
54,0.17782,7,0.1,24.5555,24.3303,False
55,0.17782,8,100,29.1445,24.1231,True
56,0.1,7.5,0.1,26.861,23.9194,False
57,0.31624,7.5,100,28.0895,23.8331,False
58,0.17782,8,10,28.5703,23.8074,True
59,0.562,5.5,100,27.1518,23.6046,False
60,0.562,5.5,10,25.7289,23.6036,False
61,0.17782,7.5,1,26.5814,23.5458,False
62,0.31624,7.5,10,27.2652,23.46,False
63,0.562,6,0.1,15.8108,23.3705,False
64,0.1,8,1,27.826,23.3525,True
65,0.562,6,1,17.9689,23.1714,False
66,0.31624,7,1,23.3794,23.0364,False
67,0.1,8,0.1,26.8852,22.8691,False
68,0.562,6,100,26.1969,22.8604,False
69,0.17782,7.5,0.1,24.8208,22.7898,False
70,0.562,6,10,24.9918,22.7035,False
71,0.31624,8,100,27.1626,22.6247,True
72,0.31624,7,0.1,20.8412,22.6214,False
73,0.17782,8,1,26.3722,22.4084,False
74,0.31624,8,10,26.4888,22.2732,True
75,0.562,6.5,100,25.4096,22.1701,True
76,0.562,6.5,10,24.3916,21.9022,False
77,0.17782,8,0.1,25.1383,21.816,True
78,0.562,6.5,0.1,15.0477,21.8153,False
79,0.31624,7.5,1,23.5391,21.7205,False
80,0.562,6.5,1,17.6967,21.5828,False
81,0.562,7,100,24.8839,21.4327,True
82,0.562,7,10,23.9314,21.1339,False
83,0.31624,7.5,0.1,21.5445,21.0819,False
84,0.31624,8,1,23.73,20.7915,False
85,0.562,7.5,100,24.3948,20.7476,True
86,0.562,7.5,10,23.5272,20.43,False
87,0.562,7,0.1,15.7211,20.3037,False
88,0.31624,8,0.1,22.2606,20.1524,False
89,0.562,8,100,24.0203,20.0588,True
90,0.562,7,1,18.3786,20.0293,False
91,0.562,8,10,23.244,19.7565,True
92,1,5.5,0.1,9.75713,19.6596,False
93,1,5.5,1,11.7452,19.157,False
94,0.562,7.5,1,18.9659,19.0238,False
95,0.562,7.5,0.1,16.834,18.7931,False
96,1,6,0.1,9.64332,18.665,False
97,1,6,1,11.6104,18.3211,False
98,0.562,8,1,19.6627,18.2947,False
99,1,6.5,0.1,9.67981,17.8966,False
100,0.562,8,0.1,17.9717,17.8634,False
101,1,5.5,100,21.3648,17.5553,True
102,1,5.5,10,19.6614,17.4952,False
103,1,6.5,1,11.59,17.4271,False
104,1,7,0.1,10.165,17.1698,False
105,1,6,100,19.8987,16.9948,True
106,1,6,10,18.5315,16.9861,False
107,1,6.5,100,19.3553,16.5782,False
108,1,6.5,10,18.2715,16.5747,False
109,1,7,1,12.4889,16.4178,False
110,1,7,100,19.1856,16.3738,False
111,1,7,10,18.3656,16.3016,False
