,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
0,0.1,6,1000,29.4848,30.1158,False
1,0.1,6,100,29.4797,30.115,False
2,0.1,6.5,1000,28.6378,30.0064,False
3,0.1,6.5,100,28.6329,30.006,False
4,0.17782,6,1000,29.0783,29.6263,False
5,0.17782,6,100,29.0726,29.6262,False
6,0.1,5.5,1000,30.5868,29.6228,True
7,0.1,5.5,100,30.5804,29.6216,True
8,0.17782,6.5,100,28.9124,29.3513,False
9,0.17782,6.5,1000,28.9157,29.3512,False
10,0.17782,5.5,1000,30.2266,29.1769,True
11,0.17782,5.5,100,30.2206,29.1758,True
12,0.1,6.5,10,28.2836,29.12,False
13,0.1,6,10,28.8734,29.0903,False
14,0.1,7,100,28.6986,28.8744,False
15,0.1,7,1000,28.7007,28.8742,False
16,0.31624,6,100,29.1108,28.6385,False
17,0.31624,6,1000,29.1154,28.6385,False
18,0.1,5.5,10,29.7513,28.5916,False
19,0.17782,6,10,28.5776,28.5397,False
20,0.17782,6.5,10,28.3708,28.3412,False
21,0.17782,7,100,28.5996,28.3254,False
22,0.17782,7,1000,28.6025,28.3252,False
23,0.31624,5.5,1000,29.8779,28.2549,True
24,0.31624,5.5,100,29.8707,28.2548,True
25,0.1,7,10,28.2945,28.1957,False
26,0.31624,6.5,100,28.6576,28.1055,False
27,0.31624,6.5,1000,28.661,28.1055,False
28,0.17782,5.5,10,29.4988,27.9986,True
29,0.17782,7,10,28.1883,27.5825,False
30,0.1,7.5,100,27.4913,27.4471,False
31,0.1,7.5,1000,27.4928,27.4467,False
32,0.31624,6,10,28.5763,27.4133,False
33,0.31624,6.5,10,28.2511,27.1747,False
34,0.31624,5.5,10,29.3195,26.955,True
35,0.1,7.5,10,27.0027,26.7869,False
36,0.31624,7,100,27.6773,26.7572,False
37,0.31624,7,1000,27.6793,26.7564,False
38,0.17782,7.5,100,26.8864,26.5524,False
39,0.17782,7.5,1000,26.888,26.5518,False
40,0.562,5.5,100,29.2442,26.468,False
41,0.562,5.5,1000,29.2504,26.4675,True
42,0.562,6,100,28.2181,26.4606,False
43,0.562,6,1000,28.2214,26.46,False
44,0.17782,7.5,10,26.338,25.8265,False
45,0.31624,7,10,27.0148,25.8226,False
46,0.1,8,100,25.6112,25.4578,False
47,0.1,8,1000,25.612,25.4573,False
48,0.562,6,10,27.6821,25.2581,False
49,0.562,6.5,100,26.4022,24.9612,False
50,0.562,6.5,1000,26.4042,24.9602,False
51,0.562,5.5,10,28.7019,24.9161,True
52,0.1,8,10,25.0773,24.9087,False
53,0.31624,7.5,100,25.3637,24.6993,False
54,0.31624,7.5,1000,25.3648,24.6986,False
55,0.17782,8,100,24.7263,24.5081,False
56,0.17782,8,1000,24.7272,24.5075,False
57,0.1,6,1,20.9711,24.3728,False
58,0.1,6,0.1,20.1888,24.2269,False
59,0.31624,7.5,10,24.7099,23.9263,False
60,0.17782,8,10,24.1459,23.9158,False
61,0.562,6.5,10,25.6627,23.868,True
62,0.1,5.5,1,22.0895,23.7878,False
63,0.1,6.5,1,19.9036,23.7318,False
64,0.17782,6,1,20.786,23.7228,False
65,0.17782,6,0.1,20.2545,23.5316,False
66,0.1,5.5,0.1,21.2642,23.3661,False
