,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
0,0.1,5.5,100,40.749,35.7808,True
1,0.1,5.5,1000,40.7488,35.7808,True
2,0.1,5.5,10,39.5901,35.6781,True
3,0.1,5.5,0.1,32.2501,35.4966,False
4,0.1,5.5,1,34.2223,35.3415,False
5,0.17782,5.5,100,38.625,34.0919,False
6,0.17782,5.5,1000,38.6251,34.0918,True
7,0.17782,5.5,0.1,29.213,33.8519,False
8,0.17782,5.5,10,37.2863,33.7798,False
9,0.17782,5.5,1,31.599,33.7788,False
10,0.1,6,1000,38.5395,33.7073,False
11,0.1,6,100,38.5395,33.7073,True
12,0.1,6,10,37.4194,33.4232,True
13,0.17782,6,1000,36.053,31.7179,False
14,0.17782,6,100,36.053,31.7178,True
15,0.1,6,1,31.7221,31.6533,False
16,0.1,6,0.1,29.1018,31.3115,False
17,0.17782,6,10,34.815,31.3114,False
18,0.1,6.5,1000,35.8689,31.0904,True
19,0.1,6.5,100,35.8684,31.0901,True
20,0.1,6.5,10,34.9125,30.7177,True
21,0.31624,5.5,0.1,23.9226,30.6765,False
22,0.31624,5.5,1,26.1854,30.1267,False
23,0.17782,6,1,28.811,30.0913,False
24,0.17782,6,0.1,26.1018,29.8401,False
25,0.31624,5.5,1000,33.8229,29.8085,False
26,0.31624,5.5,100,33.8226,29.8085,False
27,0.31624,5.5,10,32.3435,29.5333,False
28,0.17782,6.5,1000,33.847,29.4633,True
29,0.17782,6.5,100,33.8464,29.4627,True
30,0.17782,6.5,10,32.8248,29.0879,False
31,0.1,7,1000,33.6461,28.7582,True
32,0.1,7,100,33.6458,28.7577,True
33,0.1,6.5,1,30.0576,28.5986,False
34,0.1,7,10,32.8214,28.3976,True
35,0.31624,6,1000,32.0014,28.2111,True
36,0.31624,6,100,32.001,28.2108,True
37,0.1,6.5,0.1,27.2794,27.8787,False
38,0.31624,6,10,30.6968,27.7818,False
39,0.17782,7,1000,31.9716,27.4822,True
40,0.17782,7,100,31.9713,27.4819,True
41,0.31624,6,1,24.0428,27.335,False
42,0.31624,6,0.1,21.8429,27.1928,False
43,0.17782,6.5,1,27.5318,27.1302,False
44,0.17782,7,10,31.1317,27.1132,False
45,0.1,7.5,1000,31.795,26.7407,False
46,0.1,7.5,100,31.7951,26.7407,True
47,0.17782,6.5,0.1,24.7611,26.7055,False
48,0.31624,6.5,1000,30.4951,26.6295,False
49,0.31624,6.5,100,30.4946,26.6292,False
50,0.1,7.5,10,31.1128,26.3793,True
51,0.1,7,1,29.1275,26.3347,False
52,0.31624,6.5,10,29.3456,26.2198,False
53,0.17782,7.5,100,30.4195,25.6828,True
54,0.17782,7.5,1000,30.4194,25.6827,True
55,0.1,7,0.1,26.9358,25.4904,False
56,0.17782,7.5,10,29.717,25.3406,False
57,0.562,5.5,0.1,16.2055,25.2675,False
58,0.31624,7,1000,29.1882,25.1838,False
59,0.31624,7,100,29.1881,25.1836,False
60,0.17782,7,1,26.9,25.0741,False
61,0.1,8,1000,30.3139,24.9664,True
62,0.1,8,100,30.3138,24.9662,True
63,0.562,5.5,1,18.687,24.9313,False
64,0.31624,6.5,1,23.4512,24.806,False
65,0.31624,7,10,28.221,24.7844,False
66,0.31624,6.5,0.1,20.7181,24.7632,False
67,0.1,8,10,29.7679,24.645,True
68,0.1,7.5,1,28.3658,24.611,False
69,0.17782,7,0.1,24.5555,24.3303,False
70,0.17782,8,1000,29.1445,24.1231,False
71,0.17782,8,100,29.1445,24.1231,True
72,0.1,7.5,0.1,26.861,23.9194,False
73,0.31624,7.5,100,28.0895,23.8331,False
74,0.31624,7.5,1000,28.0892,23.8329,False
75,0.17782,8,10,28.5703,23.8074,True
76,0.562,5.5,1000,27.152,23.605,False
77,0.562,5.5,100,27.1518,23.6046,False
78,0.562,5.5,10,25.7289,23.6036,False
79,0.17782,7.5,1,26.5814,23.5458,False
80,0.31624,7.5,10,27.2652,23.46,False
81,0.562,6,0.1,15.8108,23.3705,False
82,0.1,8,1,27.826,23.3525,True
83,0.562,6,1,17.9689,23.1714,False
84,0.31624,7,1,23.3794,23.0364,False
85,0.1,8,0.1,26.8852,22.8691,False
86,0.562,6,1000,26.1973,22.8607,False
87,0.562,6,100,26.1969,22.8604,False
88,0.17782,7.5,0.1,24.8208,22.7898,False
89,0.562,6,10,24.9918,22.7035,False
90,0.31624,8,100,27.1626,22.6247,True
91,0.31624,8,1000,27.162,22.6244,True
92,0.31624,7,0.1,20.8412,22.6214,False
93,0.17782,8,1,26.3722,22.4084,False
94,0.31624,8,10,26.4888,22.2732,True
95,0.562,6.5,1000,25.4097,22.1703,True
96,0.562,6.5,100,25.4096,22.1701,True
97,0.562,6.5,10,24.3916,21.9022,False
98,0.17782,8,0.1,25.1383,21.816,True
99,0.562,6.5,0.1,15.0477,21.8153,False
100,0.31624,7.5,1,23.5391,21.7205,False
101,0.562,6.5,1,17.6967,21.5828,False
102,0.562,7,100,24.8839,21.4327,True
103,0.562,7,1000,24.8838,21.4326,True
104,0.562,7,10,23.9314,21.1339,False
105,0.31624,7.5,0.1,21.5445,21.0819,False
106,0.31624,8,1,23.73,20.7915,False
107,0.562,7.5,1000,24.395,20.7478,True
108,0.562,7.5,100,24.3948,20.7476,True
109,0.562,7.5,10,23.5272,20.43,False
110,0.562,7,0.1,15.7211,20.3037,False
111,0.31624,8,0.1,22.2606,20.1524,False
112,0.562,8,100,24.0203,20.0588,True
113,0.562,8,1000,24.0202,20.0587,True
114,0.562,7,1,18.3786,20.0293,False
115,0.562,8,10,23.244,19.7565,True
116,1,5.5,0.1,9.75713,19.6596,False
117,1,5.5,1,11.7452,19.157,False
118,0.562,7.5,1,18.9659,19.0238,False
119,0.562,7.5,0.1,16.834,18.7931,False
120,1,6,0.1,9.64332,18.665,False
121,1,6,1,11.6104,18.3211,False
122,0.562,8,1,19.6627,18.2947,False
123,1,6.5,0.1,9.67981,17.8966,False
124,0.562,8,0.1,17.9717,17.8634,False
125,1,5.5,100,21.3648,17.5553,False
126,1,5.5,1000,21.3649,17.5553,True
127,1,5.5,10,19.6614,17.4952,False
128,1,6.5,1,11.59,17.4271,False
129,1,7,0.1,10.165,17.1698,False
130,1,6,100,19.8987,16.9948,True
131,1,6,1000,19.8985,16.9948,True
132,1,6,10,18.5315,16.9861,False
133,1,6.5,1000,19.3557,16.5784,False
134,1,6.5,100,19.3553,16.5782,False
135,1,6.5,10,18.2715,16.5747,False
136,1,7,1,12.4889,16.4178,False
137,1,7,1000,19.1857,16.374,False
138,1,7,100,19.1856,16.3738,False
139,1,7,10,18.3656,16.3016,False
140,1,7.5,100,19.3328,16.2709,False
141,1,7.5,1000,19.3326,16.2708,False
142,1,8,1000,19.4931,16.204,True
143,1,8,100,19.4928,16.2038,True
144,1,7.5,10,18.562,16.1527,False
145,1,8,10,18.7657,16.058,True
146,1,7.5,0.1,11.3576,16.0415,False
147,1,7.5,1,13.4732,15.6432,False
148,1,8,0.1,12.6257,15.1889,False
149,1,8,1,14.3911,15.185,False
150,2,5.5,0.1,6.58354,13.8906,False
